id,pool_size,source,stock,basis,psych_type,outcome,text
DM-001293,268,토론방 본문,LG에너지솔루션,,,,공매도 잡는법 필수 필독 개미는 절대 물량 뺏김안됨 평균 공매금액이 개미 평균보다 높음 지금 그냥 구경만 하면됨 그럼 알아서 공매는 똥줄땀. 기관또는 금융사 기타 주포형아 평단이 높기에 알아서 말아줌 ~~~ 8월은 35-40정도 알아서 마차줌 그때 개미 평단알아서 빠지던지 아님 기다려보심
DM-000151,268,토론방 제목,SK하이닉스,,,,아직도 삼닉 풀매수 무새들이 있는거 보면
DM-002306,268,토론방 본문,알테오젠,,,,신기한타이밍고아가 지낄때마다 매수타이밍이네 ㅋㅋㅋㅋㅋㅋ
DM-004019,268,유튜브 댓글,삼프로TV,,,,니들 삼프로 애널놈들때문에 이미 삼전 하닉에 몰빵 물린사람들은 어쩌라는거냐.?
DM-003276,268,디시 본문,해외주식갤,,,,추매하자니 또 난리날거같아서 못사겠고 안사자니... 채권 빠지고 지수도 오르고 반등 잘 주는거같은데 진입은 못하겠고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아아악!! 이러면 안되는데 - 해외주식 갤러리의 글은 재무상담 및 조언에 해당하지 않습니다. 그러니 투자는 본인의 판단으로 신중하게 하세요.
DM-001949,268,토론방 본문,에코프로비엠,,,,난 찬티 뿡어덜 정말 이해불가 ㅋㅋㅋ 3년동안 수주도 못해 ㅋㅋㅋ ​ 돈더 못벌어 거기에 유증 ㅋㅋㅋㅋㅋ ​ 이런 잡주 사놓거 물타는 이유기 뭐여 ㅋㅋㅋㅋ
DM-001150,268,토론방 본문,SK하이닉스,,,,주위에서 전부 매도하더라 지금부터 드가자 350만원 까지 가자
DM-001258,268,토론방 본문,LG에너지솔루션,,,,삼성sdi살까 LG에너지솔루션살까 정답은 에코프로
DM-002292,268,토론방 댓글,알테오젠,,,,"여기서 주의할 점. 무상증자 하는줄도 모르고, 주가 떨어지니까 패닉셀 하는 개미들이 많아서 잠깐 하락할 가능성 있음. 이때가 또 저점 매수 하기 좋은 타이밍이지. 이때 기관,외인들이 많이 들어옴. 그니까 내일 가격 좀 떨어졌다고 바로 팔지 말고 좀 찾아보란 말이야"
DM-001300,268,토론방 본문,LG에너지솔루션,,,,이재명 정부는 무식한 주가개입으로 몇푼 안되는 이차전지 바이오 연기금 빼서 반도체에 몰빵함...진심 이재명을 떠나서 주변 사람들이  멍청한건지 아니면 과잉 충성인지 정권 끝나면 특검해야할 듯
DM-004221,268,유튜브 댓글,슈카월드,,,,"​ @m-cresol 두에빌, 에코프로, 현대차 등등 코스피, 코스닥 종목 안가리고 그냥 소문난 것들 조금씩 들어갔는데, 지금 +10% 이상인건 S&P500, 나스닥 100..."
DM-001255,268,토론방 본문,LG에너지솔루션,,,,여긴..공매도..천지노? 누가...함얘기해봐..개관들아..
DM-001475,268,토론방 댓글,현대차,,,,2만5천주 존나 두번 샀네 ㅋㅋㅋㅋㅋㅋ
DM-001607,268,토론방 본문,카카오,,,,"카카오의 현주소 내수 플랫폼회사다. 광고, 커머스 한계는 내수라는거다. 자체 ai없고, 빌려쓰는데도 돈들어간다. ai데이터 센터도 빌려써야한다. 내수매출만으론 이익깓아먹는구조가 계속된다. 스테브일 코인은 여러업체 다한다. 결국 자체 ai환경과 데이터센터기 없는한 내수한계로 하향길이다. 카카오는 미래형 소프트웨어회사가 아니다. ai전환 못할 시 구시대의 아날로그방식으로 남게될지도... 매각 자금에 대한  구체적 계획이 없다. 수상쩍은 냄세도 ...자금이 들어오는데 움직임이 없다? 이상하다."
DM-000811,268,토론방 제목,알테오젠,,,,"^*^ 공매도 물량 10만주 정도 매집했을려나?? 안팔면,..."
